,Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,Domain,These: Titel,These: These,Position: Position,Position: Begründung
1221,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,33,5,Anstieg des CO2-Preises,Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,stimme zu,"Wir wollen die Erhöhung des CO2-Preises auf 60 Euro auf das Jahr 2023 vorziehen. Danach soll der CO2-Preis so ansteigen, dass er im Konzert mit den Fördermaßnahmen und ordnungsrechtlichen Vorgaben die Erfüllung des neuen Klimaziels 2030 absichert. Die Einnahmen aus dem nationalen CO2-Preis geben wir als Energiegeld pro Kopf an die Menschen zurück."
1254,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,34,4,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,Wir bekennen uns zur grundgesetzlichen Schuldenbremse. Sie hat in der Krise ihre Funktionsfähigkeit und Flexibilität bewiesen. Grundgesetzänderungen zur Aufweichung der Schuldenbremse lehnen wir ab.
1255,2,SPD,Sozialdemokratische Partei Deutschlands,34,4,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,"Die Finanzierung unserer formulierten Schwerpunkte stellen wir sicher. Dazu werden wir die verfassungsrechtlich möglichen Spielräume zur Kreditaufnahme nutzen. Eine Änderung der Regelung im Grundgesetz erfordert eine zwei Drittel Mehrheit in Bundestag und Bundesrat. Die notwendigen Investitionen darauf auszurichten, dass dies erfolgt, ist unseriös."
1256,3,AfD,Alternative für Deutschland,34,4,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,"Selbstverständlich muss die Schuldenbremse beibehalten werden. Sie ist auch ein Gebot des Stabilitäts- und Wachstumspakts aller EU-Staaten. Solange wir in dieser EU sind, ist diese Regelung unabänderbar. Sie muss sogar ergänzt werden durch eine Regelung, welche die Finanzlage nach kaufmännischen Grundsätzen darstellt, was eine breite Mehrheit der EU-Staaten bereits tut. Erst dann wird überhaupt sichtbar, ob und wann ein Haushalt ausgeglichen ist."
1257,4,FDP,Freie Demokratische Partei,34,4,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme zu,Wir Freie Demokraten stehen für eine solide und investitionsorientierte Haushaltspolitik und zur im Grundgesetz verankerten Schuldenbremse.
1258,5,DIE LINKE,DIE LINKE,34,4,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,stimme nicht zu,"Die Schuldenbremse ist volkswirtschaftlich unsinnig. Sie begünstigt die Privatisierung der öffentlichen Infrastruktur. Die privaten Investoren lassen sich von den Steuerzahler*innen hohe Renditen zahlen und sparen an den Dienstleistungen. Um das zu verhindern, müssen Kredite mindestens für Investitionen  wieder möglich sein. Die Zinsen sind derzeit extrem niedrig. Was über Generationen hält, muss nicht auf einmal finanziert werden: Eine gute Infrastruktur nützt auch noch unseren Enkelkindern."
1259,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,34,4,Schuldenbremse,Die Schuldenbremse im Grundgesetz soll beibehalten werden.,neutral,"Wir wollen die Schuldenbremse reformieren aber nicht abschaffen und ab dem nächsten Jahr den Investitionsturbo zünden. Um ihn finanzieren zu können, ist eine Ergänzung der Schuldenbremse durch eine Investitionsregel notwendig. Wir wollen Nettoinvestitionen, also die Ausweitung des öffentlichen Vermögens, zukünftig über Kredite finanzieren. Für laufende Haushaltsausgaben sowie Erhaltungsinvestitionen wollen wir die  Schuldenregel beibehalten, also die Finanzierung aus laufenden Einnahmen decken."
1292,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,35,6,Asyl nur für politisch Verfolgte,Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,stimme zu,"Wir bekennen uns zum Grundrecht auf Asyl und den rechtlichen und humanitären Verpflichtungen Deutschlands und Europas. Wir wollen keine illegale Migration und Ausreisepflichten durchsetzen. Dies ist die Voraussetzung dafür, dass wir notleidenden Menschen dauerhaft helfen können. Wir vereinen Weltoffenheit und Konsequenz, Humanität und Ordnung."
1293,2,SPD,Sozialdemokratische Partei Deutschlands,35,6,Asyl nur für politisch Verfolgte,Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,stimme zu,"Das Grundrecht auf Asyl für politisch Verfolgte gilt für uns ohne Abstriche. Darüber hinaus stehen wir für eine humanitäre und solidarische Asyl- und Flüchtlingspolitik in der Europäischen Union. Deshalb werden wir ein funktionsfähiges Europäisches Asylsystem mit dem notwendigen Gleichgewicht zwischen Verantwortung und Solidarität voranbringen, das einem solidarischen Verteilungsmechanismus beinhaltet und das Recht auf Asyl vollumfänglich wahrt und gewährt."
1294,3,AfD,Alternative für Deutschland,35,6,Asyl nur für politisch Verfolgte,Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,stimme zu,"Seit 2015 trägt Deutschland aus eigenem Verschulden die Hauptlast der illegalen Zuwanderung nach Europa. Hilfe vor Ort hat für die AfD höchste Priorität. Zugleich werden damit wichtige Fluchtgründe abgebaut. Ein Teil der im Rahmen der Asylpolitik eingesetzten zweistelligen Milliardensummen kann heimatnah eine vielfache Wirkung entfalten und so helfen, den Migrationsdruck nachhaltig zu senken."
1295,4,FDP,Freie Demokratische Partei,35,6,Asyl nur für politisch Verfolgte,Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,stimme zu,"Für uns Freie Demokraten ist das Grundrecht auf Asyl für politisch Verfolgte unantastbar. Dazu gehört auch die politische Verfolgung aus religiösen Gründen oder aufgrund der sexuellen Identität. Dabei wollen wir zwischen politisch Verfolgten, Kriegsflüchtlingen und dauerhaften Einwanderern unterscheiden. Für Kriegs- und Bürgerkriegsflüchtlinge wollen wir einen eigenen unbürokratischen Status schaffen - einen vorübergehenden humanitären Schutz, der auf die Dauer des Krieges begrenzt ist. "
1296,5,DIE LINKE,DIE LINKE,35,6,Asyl nur für politisch Verfolgte,Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,stimme nicht zu,Die Definition der politischen Verfolgung ist zu eng. Niemand flieht freiwillig. Deutschland exportiert Waffen in aktive Konfliktregionen und feuert so Krieg und Vertreibung mit an. Verbindliche Flüchtlingsrechte müssen ausgeweitet werden auf Armuts- und Klimaflüchtlinge. Auch Verfolgung aufgrund von sexueller Orientierung oder Identität muss in der Praxis als Fluchtgrund anerkannt werden.
1297,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,35,6,Asyl nur für politisch Verfolgte,Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,stimme nicht zu,"Zu einer Anerkennung von Asyl können auch nichtstaatliche Verfolgungsgründe führen, wenn der Herkunftsstaat die Person nicht schützen kann oder will. Nicht jeder hat das Recht auf Asyl, aber jeder hat das Recht auf ein rechtsstaatliches Verfahren mit individueller Prüfung sowie auf eine würdige Unterbringung und Behandlung. Wir wollen, dass Asylverfahren rechtssicher, fair und transparent gestaltet sind und eine Entscheidung in angemessener Zeit erfolgt, damit die Menschen früh Gewissheit haben."
1330,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,36,4,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,neutral,"CDU und CSU vertrauen der Mindestlohnkommission, in der die Sozialpartnerpartner (Arbeitnehmer- und Arbeitgebervertreter) gemeinsam die zukünftige Höhe des Mindestlohns unabhängig von der Politik festlegen.CDU und CSU stehen zur Tarifautonomie und Sozialpartnerschaft und wollen nicht politisch in diesen Prozess eingreifen."
1331,2,SPD,Sozialdemokratische Partei Deutschlands,36,4,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,stimme zu,"Wer den ganzen Tag arbeitet, muss von seiner Arbeit ohne zusätzliche Unterstützung leben können. Das ist auch eine Frage des Respekts vor dem Wert der Arbeit. Wir werden den gesetzlichen Mindestlohn zunächst auf mindestens zwölf Euro erhöhen und die Spielräume der Mindestlohnkommission für künftige Erhöhungen ausweiten."
1332,3,AfD,Alternative für Deutschland,36,4,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,stimme nicht zu,"Der gesetzliche Mindestlohn entspricht dem Wesen der sozialen Marktwirtschaft. Er korrigiert im Bereich der Entlohnung die Position der Niedriglohnempfänger als schwache Marktteilnehmer gegenüber den Interessen der Arbeitgeber als vergleichsweise starke Marktteilnehmer. Die Mindestlohnfindung obliegt aber der Mindestlohnkommission, nicht dem Gesetzgeber."
1333,4,FDP,Freie Demokratische Partei,36,4,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,stimme nicht zu,"Der Mindestlohn wird durch die unabhängige Mindestlohn-Kommission bestimmt. Um Menschen mit kleineren Einkommen wirklich zu unterstützen, wollen wir die Hinzuverdienstgrenzen beim Arbeitslosengeld II reformieren, die Minijob- und Midijob-Grenze erhöhen und sie dynamisch an den gesetzlichen Mindestlohn koppeln. Denn mit jeder Mindestlohnerhöhung reduzieren sich heute die Stunden, die Mini- oder Midijobber arbeiten dürfen. Damit sind sie von der allgemeinen Lohnsteigerung abgeschnitten. "
1334,5,DIE LINKE,DIE LINKE,36,4,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,stimme zu,"Wir wollen einen Mindestlohn von 13 Euro: Niedriglöhne müssen überwunden werden. Niemand soll mehr den Lohn mit Hartz-IV aufstocken müssen. Nur ein Stundenlohn von über 12,21 Euro reicht, um in Vollzeit eine Rente oberhalb der Grundsicherung zu bekommen. Wir sagen: Das ist das Mindeste. Ein armutsfester Mindestlohn drückt die Löhne insgesamt nach oben. Es muss besser kontrolliert werden, dass die Unternehmen den Mindestlohn tatsächlich einhalten."
1335,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,36,4,Erhöhung des Mindestlohns,Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,stimme zu,"Den allgemeinen Mindestlohn wollen wir auf 12 Euro pro Stunde anheben. Anschließend muss der Mindestlohn weiter steigen, um wirksam vor Armut zu schützen und mindestens der Entwicklung der Tariflöhne zu entsprechen. Die Mindestlohnkommission wollen wir deshalb reformieren und mit diesem Auftrag ausstatten."
1368,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,37,4,Besteuerung des Flugverkehrs,Der Flugverkehr soll höher besteuert werden.,stimme nicht zu,"Wir wollen, dass die Luftfahrt ein preislich wettbewerbsfähiger Verkehrsträger ist und der Luftverkehrsstandort Deutschland erhalten bleibt. Flüge, bei denen alternative Kraftstoffe eingesetzt werden, wollen wir von der Luftverkehrssteuer befreien."
1369,2,SPD,Sozialdemokratische Partei Deutschlands,37,4,Besteuerung des Flugverkehrs,Der Flugverkehr soll höher besteuert werden.,stimme zu,"Es soll günstige Flüge geben, aber keine Dumpingangebote. Die Ticketpreise sollen nicht unter den Gebühren liegen, die am Flughafen anfallen. Im Gegenzug wird Bahnfahren innereuropäisch günstiger und attraktiver werden als Fliegen. Zusätzlich werden wir Forschung, Entwicklung und Pilotprojekte vorantreiben, damit Schiffe, Flugzeuge und LKW kein klimaschädliches CO2 mehr ausstoßen. Wir verbinden das mit Projekten zum Aufbau einer umweltfreundlichen Wasserstoffwirtschaft."
1370,3,AfD,Alternative für Deutschland,37,4,Besteuerung des Flugverkehrs,Der Flugverkehr soll höher besteuert werden.,stimme nicht zu,Der globale Flugverkehr ist von elementarer Bedeutung für den Wirtschaftsstandort Deutschland und darf nicht kurzsichtig einer unwissenschaftlichen Klima-Hysterie geopfert werden. Deutschlands Flughäfen sind als Wirtschaftsfaktor zu stärken. Die AfD befürwortet die Abschaffung der Luftverkehrsteuer und richtet sich gegen unrealistische CO2-Reduktionsziele der EU.
1371,4,FDP,Freie Demokratische Partei,37,4,Besteuerung des Flugverkehrs,Der Flugverkehr soll höher besteuert werden.,stimme nicht zu,Flüge innerhalb der EU fallen bereits unter das CO2-Limit des europäischen Emissionshandels. Der Emissionshandel ist das effektivste Instrument zur Einsparung von CO2. Eine höhere Besteuerung des Luftverkehrs hingegen leistet keinen direkten Beitrag zum Klimaschutz. 
1372,5,DIE LINKE,DIE LINKE,37,4,Besteuerung des Flugverkehrs,Der Flugverkehr soll höher besteuert werden.,stimme zu,Den sozialen und ökologischen Dumping-Wettbewerb im Luftverkehr wollen wir unterbinden. Er führt zu schlechten Arbeitsbedingungen für die Beschäftigten bei den Fluggesellschaften. Und er belastet das Klima. Wir wollen eine einheitliche Kerosinsteuer in der Europäischen Union. Zugfahren darf auf denselben Strecken nicht mehr teurer sein als fliegen. 
1373,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,37,4,Besteuerung des Flugverkehrs,Der Flugverkehr soll höher besteuert werden.,stimme zu,"Obwohl Fliegen eine der klimaschädlichsten Verkehrsarten ist, wird der Luftverkehr in Milliardenhöhe subventioniert. Gleichzeitig ist die klimafreundliche Bahn deutlich unterfinanziert. Es ist längst überfällig, jahrzehntealte Subventionen für den Luftverkehr endlich abzubauen und die Wettbewerbsbedingungen zugunsten des Klimaschutzes zu verändern. Dafür müssen wir die Investitionen in den Neu- und Ausbau des Schienennetzes deutlich ausweiten."
1406,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,38,7,Homeoffice,"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",stimme zu,"Wir wollen auch künftig möglichst vielen Beschäftigten mobile Arbeit ermöglichen, setzen dabei aber auf sozialpartnerschaftliche Regelungen der Tarifvertrags- und Betriebsparteien (zwischen den Arbeitgebern und Arbeitnehmern). Sie wissen am besten, was vor Ort möglich ist und was nicht."
1407,2,SPD,Sozialdemokratische Partei Deutschlands,38,7,Homeoffice,"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",stimme nicht zu,"Die SPD wird einen Rechtsanspruch auf mobile Arbeit einführen, wenn es die Tätigkeit erlaubt. Homeoffice braucht einen klaren Rechtsrahmen: die Geltung von Arbeits- und Ruhezeiten, die Erfassung der Arbeitszeit, ein Recht auf technische Ausstattung sowie guten Unfallversicherungsschutz. Wir wollen ein Mitbestimmungsrecht zur Einführung und bei der Ausgestaltung mobiler Arbeit. Der Grundsatz der Freiwilligkeit der mobilen Arbeit für Arbeitnehmer*innen ist für uns Voraussetzung."
1408,3,AfD,Alternative für Deutschland,38,7,Homeoffice,"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",stimme zu,"Ob Homeoffice möglich ist, kommt auf die jeweilige Geschäftsausrichtung des Unternehmens an und muss individuell von den (Tarif-)Vertragspartnern nach der jeweiligen Situation von Unternehmen und Mitarbeitern bestimmt werden. Das Zuhause als persönlicher Rückzugsort darf grundsätzlich nicht zur Arbeitsstätte werden. Zudem müssen der Arbeits- und Gesundheitsschutz sowie das Recht auf Nichterreichbarkeit gewährleistet bleiben."
1409,4,FDP,Freie Demokratische Partei,38,7,Homeoffice,"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",neutral,Wir wollen mobiles Arbeiten und Homeoffice nach niederländischem Vorbild stärken. Dabei muss der Arbeitgeber den Antrag von Beschäftigten auf mobiles Arbeiten und Homeoffice prüfen und mit der oder dem Beschäftigten erörtern. Nicht jede Tätigkeit kann außerhalb des festen Arbeitsplatzes ausgeführt werden. Auch können betriebliche Belange gegen eine Vereinbarung zur mobilen Arbeit sprechen. Aber ein Erörterungsanspruch fördert den Kulturwandel und die Akzeptanz für mobiles Arbeiten.
1410,5,DIE LINKE,DIE LINKE,38,7,Homeoffice,"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",stimme nicht zu,"Alle Beschäftigten sollen durch ein Recht auf Homeoffice einen Teil ihrer Arbeit zu Hause erledigen können, sofern die Art ihrer Tätigkeit das zulässt. Die Bedingungen für Homeoffice müssen im Tarifvertrag oder in der Betriebs-/Dienstvereinbarung geregelt werden. Arbeitsschutz und die gesetzliche Unfallversicherung müssen auch im Homeoffice gelten. Auch das Recht auf Pausen und Recht auf Feierabend muss im Homeoffice gesichert sein! Beschäftigte dürfen nicht zum Homeoffice verpflichtet werden."
1411,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,38,7,Homeoffice,"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",stimme nicht zu,"Den Ort der eigenen Arbeit selbst zu bestimmen, hat viele Vorteile: größere Vereinbarkeit von Beruf und Familie, geringere Wegzeiten und weniger Verkehr. Wir Grüne wollen, dass es selbstverständlich ist, auch von zu Hause arbeiten zu können, wenn keine wichtigen Gründe dagegen sprechen. Deshalb werden wir ein Recht auf mobile Arbeit einführen. Geeignete Tätigkeiten können dann im Homeoffice oder im Co-Working Space stattfinden. Dabei muss aber klar sein, dass Homeoffice immer freiwillig bleibt."
